================================================================================
Missing Person Detection Log
Session Start: 2026-04-15 13:42:49
================================================================================
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:25 | SCORE=0.968 | COSINE=0.988 | EUCLIDEAN=0.155 | SNAPSHOT=CAM-2_20260415_134625_351910.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:31 | SCORE=0.960 | COSINE=0.982 | EUCLIDEAN=0.188 | SNAPSHOT=CAM-2_20260415_134631_820125.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:36 | SCORE=0.966 | COSINE=0.987 | EUCLIDEAN=0.163 | SNAPSHOT=CAM-2_20260415_134636_861138.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:42 | SCORE=0.961 | COSINE=0.983 | EUCLIDEAN=0.183 | SNAPSHOT=CAM-2_20260415_134642_043441.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:48 | SCORE=0.966 | COSINE=0.986 | EUCLIDEAN=0.165 | SNAPSHOT=CAM-2_20260415_134648_699876.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:46:54 | SCORE=0.965 | COSINE=0.986 | EUCLIDEAN=0.168 | SNAPSHOT=CAM-2_20260415_134654_984466.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:47:00 | SCORE=0.962 | COSINE=0.984 | EUCLIDEAN=0.180 | SNAPSHOT=CAM-2_20260415_134700_985313.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:06 | SCORE=0.960 | COSINE=0.983 | EUCLIDEAN=0.186 | SNAPSHOT=CAM-2_20260415_134706_480639.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:11 | SCORE=0.948 | COSINE=0.974 | EUCLIDEAN=0.228 | SNAPSHOT=CAM-2_20260415_134711_933864.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:18 | SCORE=0.939 | COSINE=0.968 | EUCLIDEAN=0.254 | SNAPSHOT=CAM-2_20260415_134718_912345.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:23 | SCORE=0.932 | COSINE=0.962 | EUCLIDEAN=0.275 | SNAPSHOT=CAM-2_20260415_134723_918626.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:30 | SCORE=0.928 | COSINE=0.959 | EUCLIDEAN=0.287 | SNAPSHOT=CAM-2_20260415_134730_736947.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:37 | SCORE=0.929 | COSINE=0.959 | EUCLIDEAN=0.285 | SNAPSHOT=CAM-2_20260415_134737_180942.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:44 | SCORE=0.942 | COSINE=0.970 | EUCLIDEAN=0.246 | SNAPSHOT=CAM-2_20260415_134744_184001.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:47:50 | SCORE=0.939 | COSINE=0.967 | EUCLIDEAN=0.256 | SNAPSHOT=CAM-2_20260415_134750_600912.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:47:57 | SCORE=0.934 | COSINE=0.963 | EUCLIDEAN=0.271 | SNAPSHOT=CAM-2_20260415_134757_558623.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:48:04 | SCORE=0.936 | COSINE=0.965 | EUCLIDEAN=0.265 | SNAPSHOT=CAM-2_20260415_134804_213522.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:48:10 | SCORE=0.917 | COSINE=0.950 | EUCLIDEAN=0.317 | SNAPSHOT=CAM-2_20260415_134810_082066.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:48:15 | SCORE=0.911 | COSINE=0.944 | EUCLIDEAN=0.334 | SNAPSHOT=CAM-2_20260415_134815_923903.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:48:21 | SCORE=0.912 | COSINE=0.946 | EUCLIDEAN=0.330 | SNAPSHOT=CAM-2_20260415_134821_628268.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:48:28 | SCORE=0.900 | COSINE=0.935 | EUCLIDEAN=0.361 | SNAPSHOT=CAM-2_20260415_134828_979309.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:05 | EVENT_TIME=2026-04-15 13:48:35 | SCORE=0.903 | COSINE=0.938 | EUCLIDEAN=0.353 | SNAPSHOT=CAM-2_20260415_134835_772616.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:05 | EVENT_TIME=2026-04-15 13:48:41 | SCORE=0.903 | COSINE=0.937 | EUCLIDEAN=0.354 | SNAPSHOT=CAM-2_20260415_134841_743419.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:05 | EVENT_TIME=2026-04-15 13:48:47 | SCORE=0.905 | COSINE=0.939 | EUCLIDEAN=0.350 | SNAPSHOT=CAM-2_20260415_134847_540861.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:05 | EVENT_TIME=2026-04-15 13:48:53 | SCORE=0.900 | COSINE=0.934 | EUCLIDEAN=0.363 | SNAPSHOT=CAM-2_20260415_134853_826466.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:06 | EVENT_TIME=2026-04-15 13:49:35 | SCORE=0.797 | COSINE=0.833 | EUCLIDEAN=0.577 | SNAPSHOT=CAM-2_20260415_134935_325694.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:07 | EVENT_TIME=2026-04-15 13:49:43 | SCORE=0.835 | COSINE=0.872 | EUCLIDEAN=0.505 | SNAPSHOT=CAM-2_20260415_134943_248867.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:07 | EVENT_TIME=2026-04-15 13:49:55 | SCORE=0.841 | COSINE=0.879 | EUCLIDEAN=0.492 | SNAPSHOT=CAM-2_20260415_134955_699637.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:07 | EVENT_TIME=2026-04-15 13:50:13 | SCORE=0.812 | COSINE=0.849 | EUCLIDEAN=0.549 | SNAPSHOT=CAM-2_20260415_135013_652649.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:09 | EVENT_TIME=2026-04-15 13:50:55 | SCORE=0.820 | COSINE=0.857 | EUCLIDEAN=0.535 | SNAPSHOT=CAM-2_20260415_135055_654835.jpg
